Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.23,      0.23
Start 2D BC Array Sizes Domain_001                ,      0.27,      0.04
End 2D BC Array Sizes Domain_001                  ,      0.27,      0.01
Start Estry Setup s0                              ,      0.28,      0.00
End Estry Setup s0                                ,      0.28,      0.00
Start Estry Setup s1                              ,      0.28,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.29,      0.00
End Estry Setup s1                                ,      0.29,      0.01
Start TUFLOW Setup s2                             ,      0.29,      0.00
End TUFLOW Setup s2                               ,      0.39,      0.10
Reading Geometry File Domain_001                  ,      0.45,      0.06
Start Read Read GIS Code                          ,      0.46,      0.00
End Read Read GIS Code                            ,      0.46,      0.01
Start Read Grid Read GRID Zpts                    ,      0.47,      0.00
End Read Grid Read GRID Zpts                      ,      0.47,      0.00
Start Read Geometry GIS File Read GIS Z Shape     ,      0.49,      0.02
End Read Geometry GIS File Read GIS Z Shape       ,      1.16,      0.67
Start Read Read GIS Mat                           ,      1.17,      0.01
End Read Read GIS Mat                             ,      1.22,      0.05
Finished Reading Geometry File Domain_001         ,      1.27,      0.06
Start Read input file (stage 2) Domain_001        ,      1.27,      0.00
End Read input file (stage 2) Domain_001          ,      1.29,      0.02
Identifying cells within user defined output zones,      1.29,      0.00
Finished Identifying cells within user defined out,      1.29,      0.00
Setting instability water levels Domain_001       ,      1.29,      0.00
Finished Setting instability water levels Domain_0,      1.29,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.29,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.29,      0.00
Start Reading Input File (Stage 3)                ,      1.29,      0.00
End Reading Input File (Stage 3)                  ,      1.33,      0.04
Reading Boundary File Domain_001                  ,      1.34,      0.00
Finished Reading Boundary File Domain_001         ,      1.41,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      1.42,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      1.43,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      1.43,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.45,      0.01
Initialising any 2D2D link data Domain_001        ,      1.46,      0.01
Finished Initialising any 2D2D link data Domain_00,      1.46,      0.00
Start Writing _grd_check                          ,      1.53,      0.07
End Writing _grd_check                            ,      3.81,      2.28
Start Writing _zpt_check                          ,      3.81,      0.00
End Writing _zpt_check                            ,      9.54,      5.73
Start Writing _uvpt_check                         ,      9.54,      0.00
End Writing _uvpt_check                           ,     13.32,      3.78
Start Writing check DEMs                          ,     13.51,      0.19
Start Calculating grid interpolation factors      ,     13.51,      0.00
End Calculating grid interpolation factors        ,     13.53,      0.01
End Writing check DEMs                            ,     13.54,      0.02
Starting Simulation                               ,     13.55,      0.01
Summary File Close                                ,     13.55,      0.00
