Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.20,      0.20
Start 2D BC Array Sizes Domain_001                ,      0.23,      0.03
End 2D BC Array Sizes Domain_001                  ,      0.24,      0.01
Start Estry Setup s0                              ,      0.24,      0.00
End Estry Setup s0                                ,      0.24,      0.00
Start Estry Setup s1                              ,      0.25,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.25,      0.00
End Estry Setup s1                                ,      0.25,      0.01
Start TUFLOW Setup s2                             ,      0.26,      0.00
End TUFLOW Setup s2                               ,      0.38,      0.13
Reading Geometry File Domain_001                  ,      0.45,      0.07
Start Read Read GIS Code                          ,      0.45,      0.00
End Read Read GIS Code                            ,      0.46,      0.01
Start Read Grid Read GRID Zpts                    ,      0.46,      0.00
End Read Grid Read GRID Zpts                      ,      0.47,      0.01
Start Read Read GIS Mat                           ,      0.49,      0.02
End Read Read GIS Mat                             ,      0.53,      0.04
Finished Reading Geometry File Domain_001         ,      0.53,      0.00
Start Read input file (stage 2) Domain_001        ,      0.53,      0.00
End Read input file (stage 2) Domain_001          ,      0.54,      0.01
Identifying cells within user defined output zones,      0.54,      0.00
Finished Identifying cells within user defined out,      0.54,      0.00
Setting instability water levels Domain_001       ,      0.54,      0.00
Finished Setting instability water levels Domain_0,      0.54,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.54,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.54,      0.00
Start Reading Input File (Stage 3)                ,      0.54,      0.00
End Reading Input File (Stage 3)                  ,      0.57,      0.03
Reading Boundary File Domain_001                  ,      0.58,      0.00
Finished Reading Boundary File Domain_001         ,      0.65,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      0.65,      0.00
Finished Initialising 2D Data (Stage 1) Domain_001,      0.67,      0.01
Initialising 2D Data (Stage 2) Domain_001         ,      0.67,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.68,      0.01
Initialising any 2D2D link data Domain_001        ,      0.69,      0.01
Finished Initialising any 2D2D link data Domain_00,      0.69,      0.00
Start Writing _grd_check                          ,      0.76,      0.07
End Writing _grd_check                            ,      3.02,      2.25
Start Writing _zpt_check                          ,      3.02,      0.00
End Writing _zpt_check                            ,      8.62,      5.61
Start Writing _uvpt_check                         ,      8.62,      0.00
End Writing _uvpt_check                           ,     12.32,      3.69
Start Writing check DEMs                          ,     12.51,      0.20
Start Calculating grid interpolation factors      ,     12.51,      0.00
End Calculating grid interpolation factors        ,     12.53,      0.01
End Writing check DEMs                            ,     12.54,      0.02
Starting Simulation                               ,     12.55,      0.01
Summary File Close                                ,     12.55,      0.00
