Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.21,      0.21
Start 2D BC Array Sizes Domain_001                ,      0.25,      0.04
End 2D BC Array Sizes Domain_001                  ,      0.25,      0.01
Start Estry Setup s0                              ,      0.26,      0.00
End Estry Setup s0                                ,      0.26,      0.00
Start Estry Setup s1                              ,      0.27,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.27,      0.00
End Estry Setup s1                                ,      0.27,      0.01
Start TUFLOW Setup s2                             ,      0.28,      0.00
End TUFLOW Setup s2                               ,      0.40,      0.13
Reading Geometry File Domain_001                  ,      0.48,      0.08
Start Read Read GIS Code                          ,      0.48,      0.00
End Read Read GIS Code                            ,      0.49,      0.01
Start Read Grid Read GRID Zpts                    ,      0.49,      0.00
End Read Grid Read GRID Zpts                      ,      0.50,      0.00
Start Read Read GIS Mat                           ,      0.51,      0.01
End Read Read GIS Mat                             ,      0.54,      0.03
Finished Reading Geometry File Domain_001         ,      0.54,      0.00
Start Read input file (stage 2) Domain_001        ,      0.54,      0.00
End Read input file (stage 2) Domain_001          ,      0.56,      0.01
Identifying cells within user defined output zones,      0.56,      0.00
Finished Identifying cells within user defined out,      0.56,      0.00
Setting instability water levels Domain_001       ,      0.56,      0.00
Finished Setting instability water levels Domain_0,      0.56,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      0.56,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      0.56,      0.00
Start Reading Input File (Stage 3)                ,      0.56,      0.00
End Reading Input File (Stage 3)                  ,      0.59,      0.03
Reading Boundary File Domain_001                  ,      0.59,      0.00
Finished Reading Boundary File Domain_001         ,      0.66,      0.07
Initialising 2D Data (Stage 1) Domain_001         ,      0.67,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      0.69,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      0.69,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      0.70,      0.01
Initialising any 2D2D link data Domain_001        ,      0.71,      0.01
Finished Initialising any 2D2D link data Domain_00,      0.71,      0.00
Start Writing _grd_check                          ,      0.79,      0.07
End Writing _grd_check                            ,      3.02,      2.23
Start Writing _zpt_check                          ,      3.02,      0.00
End Writing _zpt_check                            ,      8.40,      5.38
Start Writing _uvpt_check                         ,      8.40,      0.00
End Writing _uvpt_check                           ,     12.06,      3.66
Start Writing check DEMs                          ,     12.25,      0.20
Start Calculating grid interpolation factors      ,     12.25,      0.00
End Calculating grid interpolation factors        ,     12.27,      0.01
End Writing check DEMs                            ,     12.28,      0.02
Starting Simulation                               ,     12.30,      0.01
Summary File Close                                ,     12.30,      0.00
