Stage                                             ,Total (s)   ,Elapsed (s) 
Initilisation (file opened)                       ,      0.00,      0.00
Found 2D domains                                  ,      0.18,      0.18
Start 2D BC Array Sizes Domain_001                ,      0.22,      0.04
End 2D BC Array Sizes Domain_001                  ,      0.23,      0.01
Start Estry Setup s0                              ,      0.23,      0.00
End Estry Setup s0                                ,      0.23,      0.00
Start Estry Setup s1                              ,      0.24,      0.01
Estry Setup EC (Weir) Initialise                  ,      0.24,      0.00
End Estry Setup s1                                ,      0.25,      0.00
Start TUFLOW Setup s2                             ,      0.25,      0.00
End TUFLOW Setup s2                               ,      0.38,      0.13
Reading Geometry File Domain_001                  ,      0.44,      0.06
Start Read Read GIS Code                          ,      0.45,      0.01
End Read Read GIS Code                            ,      0.46,      0.01
Start Read Grid Read GRID Zpts                    ,      0.46,      0.00
End Read Grid Read GRID Zpts                      ,      0.46,      0.00
Start Read Geometry GIS File Read GIS Z Shape     ,      0.48,      0.02
End Read Geometry GIS File Read GIS Z Shape       ,      1.17,      0.70
Start Read Read GIS Mat                           ,      1.18,      0.01
End Read Read GIS Mat                             ,      1.22,      0.04
Finished Reading Geometry File Domain_001         ,      1.25,      0.03
Start Read input file (stage 2) Domain_001        ,      1.25,      0.00
End Read input file (stage 2) Domain_001          ,      1.26,      0.01
Identifying cells within user defined output zones,      1.26,      0.00
Finished Identifying cells within user defined out,      1.27,      0.00
Setting instability water levels Domain_001       ,      1.27,      0.00
Finished Setting instability water levels Domain_0,      1.27,      0.00
Assigning any Variable Z Shape 1D Trigger Nodes   ,      1.27,      0.00
Finished Assigning any Variable Z Shape 1D Trigger,      1.27,      0.00
Start Reading Input File (Stage 3)                ,      1.27,      0.00
End Reading Input File (Stage 3)                  ,      1.30,      0.03
Reading Boundary File Domain_001                  ,      1.30,      0.00
Finished Reading Boundary File Domain_001         ,      1.39,      0.09
Initialising 2D Data (Stage 1) Domain_001         ,      1.39,      0.01
Finished Initialising 2D Data (Stage 1) Domain_001,      1.41,      0.02
Initialising 2D Data (Stage 2) Domain_001         ,      1.41,      0.00
Finished Initialising 2D Data (Stage 2) Domain_001,      1.43,      0.01
Initialising any 2D2D link data Domain_001        ,      1.44,      0.01
Finished Initialising any 2D2D link data Domain_00,      1.44,      0.00
Start Writing _grd_check                          ,      1.52,      0.08
End Writing _grd_check                            ,      3.78,      2.27
Start Writing _zpt_check                          ,      3.78,      0.00
End Writing _zpt_check                            ,      9.24,      5.46
Start Writing _uvpt_check                         ,      9.24,      0.00
End Writing _uvpt_check                           ,     13.00,      3.76
Start Writing check DEMs                          ,     13.19,      0.19
Start Calculating grid interpolation factors      ,     13.20,      0.00
End Calculating grid interpolation factors        ,     13.21,      0.01
End Writing check DEMs                            ,     13.23,      0.02
Starting Simulation                               ,     13.24,      0.02
Summary File Close                                ,     13.24,      0.00
